时间,收支类型,金额,类别,子类,账户,备注,tags,note
2026-06-01 08:30,支出,-15,食品餐饮,早餐,微信钱包,脱敏示例早餐,餐饮,
2026-06-02 19:40,支出,-68,食品餐饮,晚餐,白条,脱敏示例晚餐,旅行,
2026-06-04 14:20,支出,-20,食品餐饮,酒水饮料,花呗,脱敏示例饮料旧别名,,旧子类别名归一化为 饮料酒水
2026-06-07 16:30,支出,-1712.3,出行交通,高速费用,花呗,脱敏示例高速费用旧别名,旅行,旧子类别名归一化为 高速费
2026-06-08 11:00,支出,-10,出行交通,停车,白条,脱敏示例停车费旧别名,,旧子类别名归一化为 停车费
2026-06-12 14:00,支出,-11,购物消费,饮料酒水,花呗,脱敏示例组合别名,,组合别名归一化为 食品餐饮/饮料酒水
2026-06-14 09:00,支出,-34,健康医疗,挂号,白条,脱敏示例挂号旧类别别名,,旧类别别名归一化为 医疗健康
2026-06-17 10:00,收入,2000,收入,工资,建设银行,脱敏示例工资,收入,
2026-06-19 09:00,还款,3666.21,还款,月付还款,支付宝,脱敏示例还款月付,还款,
2026-06-20 10:00,转账,2000,转账,个人转账,支付宝,脱敏示例转账,转账,
